CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031300000000001EX;10/07/2021;23;0.256;R
ES0031300000000001EX;10/07/2021;24;0.227;R
ES0031300000000001EX;11/07/2021;1;0.079;R
ES0031300000000001EX;11/07/2021;2;0.076;R
ES0031300000000001EX;11/07/2021;3;0.073;R
ES0031300000000001EX;11/07/2021;4;0.066;R
ES0031300000000001EX;11/07/2021;5;0.064;R
ES0031300000000001EX;11/07/2021;6;0.066;R
ES0031300000000001EX;11/07/2021;7;0.065;R
ES0031300000000001EX;11/07/2021;8;0.064;R
ES0031300000000001EX;11/07/2021;9;0.057;R
ES0031300000000001EX;11/07/2021;10;0.183;R
ES0031300000000001EX;11/07/2021;11;0.175;R
ES0031300000000001EX;11/07/2021;12;0.508;R
ES0031300000000001EX;11/07/2021;13;0.117;R
ES0031300000000001EX;11/07/2021;14;0.083;R
ES0031300000000001EX;11/07/2021;15;0.058;R
ES0031300000000001EX;11/07/2021;16;0.058;R
ES0031300000000001EX;11/07/2021;17;0.058;R
ES0031300000000001EX;11/07/2021;18;0.057;R
ES0031300000000001EX;11/07/2021;19;0.058;R
ES0031300000000001EX;11/07/2021;20;0.056;R
ES0031300000000001EX;11/07/2021;21;0.063;R
ES0031300000000001EX;11/07/2021;22;0.424;R
ES0031300000000001EX;11/07/2021;23;0.224;R
ES0031300000000001EX;11/07/2021;24;0.167;R
ES0031300000000001EX;12/07/2021;1;0.08;R
ES0031300000000001EX;12/07/2021;2;0.07;R
ES0031300000000001EX;12/07/2021;3;0.066;R
ES0031300000000001EX;12/07/2021;4;0.117;R
ES0031300000000001EX;12/07/2021;5;0.063;R
ES0031300000000001EX;12/07/2021;6;0.06;R
ES0031300000000001EX;12/07/2021;7;0.058;R
ES0031300000000001EX;12/07/2021;8;0.056;R
ES0031300000000001EX;12/07/2021;9;0.122;R
ES0031300000000001EX;12/07/2021;10;0.222;R
ES0031300000000001EX;12/07/2021;11;0.151;R
ES0031300000000001EX;12/07/2021;12;0.098;R
ES0031300000000001EX;12/07/2021;13;0.093;R
ES0031300000000001EX;12/07/2021;14;0.099;R
ES0031300000000001EX;12/07/2021;15;0.501;R
ES0031300000000001EX;12/07/2021;16;0.227;R
ES0031300000000001EX;12/07/2021;17;0.098;R
ES0031300000000001EX;12/07/2021;18;0.083;R
ES0031300000000001EX;12/07/2021;19;0.085;R
ES0031300000000001EX;12/07/2021;20;0.091;R
ES0031300000000001EX;12/07/2021;21;0.073;R
ES0031300000000001EX;12/07/2021;22;0.132;R
ES0031300000000001EX;12/07/2021;23;0.225;R
ES0031300000000001EX;12/07/2021;24;0.192;R
ES0031300000000001EX;13/07/2021;1;0.063;R
ES0031300000000001EX;13/07/2021;2;0.065;R
ES0031300000000001EX;13/07/2021;3;0.062;R
ES0031300000000001EX;13/07/2021;4;0.054;R
ES0031300000000001EX;13/07/2021;5;0.056;R
ES0031300000000001EX;13/07/2021;6;0.104;R
ES0031300000000001EX;13/07/2021;7;0.089;R
ES0031300000000001EX;13/07/2021;8;0.064;R
ES0031300000000001EX;13/07/2021;9;0.179;R
ES0031300000000001EX;13/07/2021;10;0.244;R
ES0031300000000001EX;13/07/2021;11;0.151;R
ES0031300000000001EX;13/07/2021;12;0.095;R
ES0031300000000001EX;13/07/2021;13;0.082;R
ES0031300000000001EX;13/07/2021;14;0.392;R
ES0031300000000001EX;13/07/2021;15;0.502;R
ES0031300000000001EX;13/07/2021;16;0.212;R
ES0031300000000001EX;13/07/2021;17;0.218;R
ES0031300000000001EX;13/07/2021;18;0.154;R
ES0031300000000001EX;13/07/2021;19;0.072;R
ES0031300000000001EX;13/07/2021;20;0.064;R
ES0031300000000001EX;13/07/2021;21;0.201;R
ES0031300000000001EX;13/07/2021;22;0.217;R
ES0031300000000001EX;13/07/2021;23;0.233;R
ES0031300000000001EX;13/07/2021;24;0.211;R
ES0031300000000001EX;14/07/2021;1;0.175;R
ES0031300000000001EX;14/07/2021;2;0.073;R
ES0031300000000001EX;14/07/2021;3;0.056;R
ES0031300000000001EX;14/07/2021;4;0.06;R
ES0031300000000001EX;14/07/2021;5;0.051;R
