id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;235.06;2021-06-04T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.9;2021-06-04T12:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;234.48;2021-06-04T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.15;2021-06-04T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;134.09;2021-06-04T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;129.52;2021-06-04T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;133.79;2021-06-04T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.88;2021-06-04T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;236.58;2021-06-04T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;238.32;2021-06-04T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;239.39;2021-06-04T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;144.42;2021-06-04T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;140.65;2021-06-04T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;103.4;2021-06-05T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;96.97;2021-06-05T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;94.35;2021-06-05T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;95.48;2021-06-05T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;94.31;2021-06-05T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;94.51;2021-06-05T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;93.76;2021-06-05T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;96.09;2021-06-05T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;102.83;2021-06-05T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;102.36;2021-06-05T09:00:00+02:00
